ImageInd	1
maxSize	None
minSize	50
minCir	0.6
channel	2
maxCir	None
thresh	75
->
x	y	r	c
14537.467	8807.814	10.372	0.984
11953.955	8920.417	10.984	0.877
16096.659	8930.099	14.647	0.877
12774.859	9113.461	11.928	0.832
9644.467	9198.776	10.108	0.819
8487.370	9245.333	9.271	0.939
16351.809	9389.509	12.729	0.868
14556.883	9407.851	11.410	0.859
12742.457	9480.165	11.861	0.864
14935.231	10237.333	12.322	0.900
14902.174	10263.120	11.861	0.882
10368.619	10309.666	12.192	0.848
14888.794	10352.670	11.781	0.902
15015.534	10526.756	11.368	0.867
9537.518	10613.850	9.441	0.808
9830.327	10658.567	9.150	0.981
9131.497	10804.455	9.608	0.887
14392.031	11037.017	11.562	0.896
9158.261	11213.314	9.491	0.798
15457.589	11599.009	12.008	0.898
15039.195	12239.648	14.450	0.634
13946.442	12357.447	10.570	0.843
15861.367	12484.551	11.995	0.896
16237.675	12523.152	12.192	0.864
9812.179	12554.788	9.339	0.860
15714.158	12631.156	11.535	0.915
15092.977	12661.191	10.479	0.846
15618.820	12739.022	10.808	0.807
15092.679	12742.254	10.675	0.842
15579.859	12741.609	11.056	0.796
9383.605	12902.846	10.280	0.833
14867.784	13009.318	11.713	0.868
14289.819	13138.377	17.770	0.794
15971.337	13145.536	12.374	0.783
15968.596	13350.377	11.942	0.809
15913.493	13388.315	11.672	0.837
15980.507	13442.257	12.244	0.756
16029.377	13469.461	11.396	0.851
15917.655	13548.083	12.374	0.628
8547.813	13575.703	10.998	0.854
12461.429	13673.400	4.720	0.809
8987.725	13735.694	11.493	0.791
12405.595	13759.008	13.025	0.684
13731.202	13765.886	10.720	0.811
12800.222	13789.833	4.146	1.000
9021.274	13820.172	11.452	0.904
14416.986	13912.581	14.863	0.661
14467.654	13911.953	10.675	0.878
13782.987	13927.445	10.998	0.845
14709.787	13985.960	12.653	0.609
13607.279	14000.275	11.982	0.860
14070.777	14008.106	10.690	0.907
16337.346	14462.857	13.434	0.908
10489.383	14525.509	10.555	0.932
13864.120	14595.648	15.337	0.749
14138.637	14603.586	12.915	0.713
13917.066	14741.063	24.534	0.607
11003.248	14741.271	11.562	0.699
15938.711	14759.062	12.853	0.713
16058.277	14845.229	11.604	0.839
14466.255	15178.194	10.882	0.809
9243.189	15187.406	16.841	0.632
11369.770	15317.521	10.660	0.785
